20200102,01:55:00,1.12068,1.12078,1.12065,1.12078,77.0
20200102,02:00:00,1.12079,1.121,1.12078,1.12092,1065.0
20200102,02:05:00,1.12092,1.12101,1.12083,1.12085,753.0
20200102,02:10:00,1.12086,1.12098,1.1207,1.12079,715.0
20200102,02:15:00,1.12079,1.12098,1.12068,1.12078,595.0
20200102,02:20:00,1.12078,1.12084,1.12067,1.12073,536.0
20200102,02:25:00,1.12073,1.12074,1.12056,1.12068,445.0
20200102,02:30:00,1.12068,1.12073,1.12044,1.1207,852.0
20200102,02:35:00,1.1207,1.1207,1.12048,1.12052,448.0
20200102,02:40:00,1.12053,1.12074,1.12052,1.12073,521.0
20200102,02:45:00,1.12073,1.121,1.12073,1.12094,514.0
20200102,02:50:00,1.12094,1.12103,1.12091,1.12097,383.0
20200102,02:55:00,1.12098,1.12102,1.12077,1.12098,1106.0
20200102,03:00:00,1.12099,1.12138,1.12088,1.12136,1413.0
20200102,03:05:00,1.12136,1.12136,1.12051,1.12058,1266.0
20200102,03:10:00,1.12059,1.12102,1.12058,1.12098,801.0
20200102,03:15:00,1.12099,1.12109,1.12086,1.12108,700.0
20200102,03:20:00,1.12109,1.12122,1.12085,1.12088,790.0
20200102,03:25:00,1.12088,1.12089,1.12072,1.12074,547.0
20200102,03:30:00,1.12074,1.12085,1.12067,1.12078,513.0
20200102,03:35:00,1.12078,1.12088,1.12059,1.12074,492.0
20200102,03:40:00,1.12074,1.12105,1.1207,1.1209,762.0
20200102,03:45:00,1.1209,1.12109,1.12084,1.12093,625.0
20200102,03:50:00,1.12092,1.12122,1.12089,1.12103,809.0
20200102,03:55:00,1.12103,1.12126,1.12102,1.1212,646.0
20200102,04:00:00,1.1212,1.1214,1.12115,1.12116,866.0
20200102,04:05:00,1.12116,1.12137,1.12093,1.12106,781.0
20200102,04:10:00,1.12106,1.12134,1.121,1.12106,650.0
20200102,04:15:00,1.12105,1.12116,1.12096,1.12114,558.0
20200102,04:20:00,1.12115,1.12122,1.12103,1.12104,481.0
20200102,04:25:00,1.12103,1.12116,1.121,1.121,281.0
20200102,04:30:00,1.12099,1.12112,1.12087,1.1209,670.0
20200102,04:35:00,1.12091,1.12093,1.12064,1.12086,659.0
20200102,04:40:00,1.12086,1.12087,1.12053,1.12059,473.0
